customer_city,customer_state,product_category_name_english,total_orders,avg_payment_value,avg_payment_installments,avg_freight_value,avg_price,avg_products_ordered
buerarema,BA,telephony,1,1017.630000,4.0000,28.630000,989.000000,1
buritirama,BA,cool_stuff,1,118.170000,2.0000,18.270000,99.900000,1
buritirama,BA,health_beauty,1,167.940000,1.0000,15.940000,152.000000,1
"cabaceiras do paraguacu",BA,computers_accessories,1,48.690000,1.0000,16.790000,31.900000,1
cachoeira,BA,industry_commerce_and_business,1,167.710000,1.0000,27.710000,140.000000,1
cachoeira,BA,cool_stuff,1,182.490000,5.0000,17.590000,164.900000,1
cachoeira,BA,books_technical,1,71.325000,2.5000,27.750000,114.900000,1
cachoeira,BA,auto,1,80.860000,1.0000,20.870000,59.990000,1
cacule,BA,stationery,1,52.340000,1.0000,12.350000,39.990000,1
cacule,BA,toys,1,158.280000,10.0000,28.290000,129.990000,1
cacule,BA,bed_bath_table,1,404.430000,1.0000,22.315000,179.900000,2
caem,BA,health_beauty,1,80.020000,1.0000,22.120000,57.900000,1
caetite,BA,bed_bath_table,3,353.136667,4.6667,72.540000,280.596667,3
cairu,BA,health_beauty,1,78.640000,1.0000,19.650000,58.990000,1
"caldas do jorro",BA,health_beauty,1,197.260000,3.5000,24.520000,370.000000,1
"caldeirao grande",BA,bed_bath_table,1,139.980000,10.0000,20.080000,119.900000,1
"caldeirao grande",BA,computers_accessories,1,128.890000,1.0000,23.890000,105.000000,1
camacan,BA,computers_accessories,1,173.880000,2.0000,23.980000,149.900000,1
camacan,BA,perfumery,1,197.630000,8.0000,27.730000,169.900000,1
camacan,BA,consoles_games,1,41.290000,4.0000,16.790000,24.500000,1
camacan,BA,watches_gifts,1,173.520000,4.0000,17.530000,155.990000,1
camacan,BA,telephony,1,625.400000,6.0000,12.710000,299.990000,1
camacan,BA,auto,1,57.680000,1.0000,23.280000,34.400000,1
camacari,BA,sports_leisure,6,86.480000,1.0000,18.636667,35.594444,5
camacari,BA,watches_gifts,6,181.806667,2.8889,14.397778,90.855556,7
camamu,BA,health_beauty,3,385.200000,4.6667,79.466667,305.733333,3
"campo alegre de lourdes",BA,cool_stuff,1,124.890000,1.0000,24.900000,99.990000,1
"campo formoso",BA,health_beauty,3,992.182500,2.2500,105.322500,511.497500,4
canapolis,BA,electronics,1,30.440000,1.0000,16.790000,13.650000,1
canarana,BA,sports_leisure,1,130.590000,6.0000,22.690000,107.900000,1
canavieiras,BA,auto,1,713.650000,10.0000,113.650000,600.000000,1
canavieiras,BA,baby,1,56.290000,5.0000,16.790000,39.500000,1
canavieiras,BA,food,1,50.030000,1.0000,22.130000,27.900000,1
canavieiras,BA,garden_tools,1,35.275000,3.0000,20.800000,49.750000,1
